札番号,単語数,総文字数,単語リスト
1,28,95,あきの/秋の田/の田の/かりほ/りほの/ほの庵/の庵の/苫をあ/をあら/あらみ/きのた/のたの/ほのい/のいほ/いほの/とまを/まをあ/秋の田の/かりほの/りほの庵/ほの庵の/苫をあら/をあらみ/あきのた/きのたの/りほのい/ほのいほ/のいほの
2,28,94,はるす/春過ぎ/過ぎて/夏来に/来にけ/にけら/けらし/白妙の/るすぎ/すぎて/なつき/つきに/きにけ/しろた/ろたへ/たへの/春過ぎて/夏来にけ/来にけら/にけらし/はるすぎ/るすぎて/なつきに/つきにけ/きにけら/しろたへ/ろたへの/春過
3,28,94,あし/あしび/しびき/びきの/山鳥の/鳥の尾/の尾の/しだり/だり尾/り尾の/やまど/まどり/どりの/りのを/のをの/だりを/りをの/あしびき/しびきの/山鳥の尾/鳥の尾の/しだり尾/だり尾の/やまどり/まどりの/どりのを/りのをの/しだりを
4,28,87,たご/田子の/子の浦/の浦に/うち出/ち出で/出でて/でて見/て見れ/見れば/白妙の/たごの/ごのう/のうら/うらに/うちい/ちいで/いでて/でてみ/てみれ/みれば/しろた/ろたへ/たへの/田子の浦/子の浦に/うち出で/ち出でて
5,28,92,おく/奥山に/紅葉踏/葉踏み/踏み分/み分け/鳴く鹿/く鹿の/おくや/くやま/やまに/もみぢ/みぢふ/ぢふみ/ふみわ/みわけ/なくし/くしか/しかの/紅葉踏み/葉踏み分/踏み分け/鳴く鹿の/おくやま/くやまに/もみぢふ/みぢふみ/ぢふみわ
6,28,94,かさ/渡せる/せる橋/る橋に/置く霜/く霜の/かささ/ささぎ/さぎの/わたせ/たせる/せるは/るはし/はしに/おくし/くしも/しもの/渡せる橋/せる橋に/置く霜の/かささぎ/ささぎの/わたせる/たせるは/せるはし/るはしに/おくしも/くしもの
7,28,95,あまの/天の原/ふりさ/りさけ/さけ見/け見れ/見れば/春日な/日なる/まのは/のはら/さけみ/けみれ/みれば/かすが/すがな/がなる/ふりさけ/りさけ見/さけ見れ/け見れば/春日なる/あまのは/まのはら/りさけみ/さけみれ/けみれば/かすがな
8,28,95,わがい/わが庵/が庵は/都の辰/の辰巳/しかぞ/かぞ住/ぞ住む/がいほ/いほは/みやこ/やこの/このた/のたつ/たつみ/かぞす/ぞすむ/わが庵は/都の辰巳/しかぞ住/かぞ住む/わがいほ/がいほは/みやこの/やこのた/このたつ/のたつみ/しかぞす
9,28,93,はなの/花の色/の色は/移りに/りにけ/にけり/けりな/いたづ/たづら/づらに/なのい/のいろ/いろは/うつり/つりに/花の色は/移りにけ/りにけり/にけりな/いたづら/たづらに/はなのい/なのいろ/のいろは/うつりに/つりにけ/花の/の色
10,28,90,これ/これや/れやこ/やこの/行くも/くも帰/も帰る/帰るも/るも別/も別れ/別れて/れては/いくも/くもか/もかへ/かへる/へるも/るもわ/もわか/わかれ/かれて/これやこ/れやこの/行くも帰/くも帰る/も帰るも/帰るも別/るも別れ
11,28,96,わたのはら　や/わたの/たの原/八十島/十島か/島かけ/かけて/漕ぎ出/ぎ出で/出でぬ/でぬと/たのは/のはら/やそし/そしま/しまか/まかけ/こぎい/ぎいで/いでぬ/わたの原/八十島か/十島かけ/島かけて/漕ぎ出で/ぎ出でぬ/出でぬと/わたのは
12,28,94,あまつ/天つ風/雲の通/の通ひ/通ひ路/吹き閉/き閉ぢ/閉ぢよ/まつか/つかぜ/くもの/ものか/のかよ/かよひ/よひぢ/ふきと/きとぢ/とぢよ/雲の通ひ/の通ひ路/吹き閉ぢ/き閉ぢよ/あまつか/まつかぜ/くものか/ものかよ/のかよひ/かよひぢ
13,28,92,つく/筑波嶺/波嶺の/峰より/より落/り落つ/落つる/男女川/つくば/くばね/ばねの/みねよ/ねより/よりお/りおつ/おつる/みなの/なのが/のがは/筑波嶺の/峰より落/より落つ/り落つる/つくばね/くばねの/みねより/ねよりお/よりおつ
14,28,87,みち/陸奥の/しのぶ/のぶも/ぶもぢ/もぢず/ぢずり/誰ゆゑ/ゆゑに/みちの/ちのく/のくの/たれゆ/れゆゑ/しのぶも/のぶもぢ/ぶもぢず/もぢずり/誰ゆゑに/みちのく/ちのくの/たれゆゑ/れゆゑに/陸奥/奥の/しの/のぶ/ぶも
15,28,95,きみがため　は/君がた/がため/春の野/の野に/野に出/に出で/出でて/若菜摘/菜摘む/きみが/みがた/はるの/るのの/ののに/のにい/にいで/いでて/わかな/かなつ/なつむ/君がため/春の野に/の野に出/野に出で/に出でて/若菜摘む/きみがた
16,28,91,たち/立ち別/ち別れ/いなば/なばの/ばの山/の山の/峰に生/に生ふ/生ふる/たちわ/ちわか/わかれ/ばのや/のやま/やまの/みねに/ねにお/におふ/おふる/立ち別れ/いなばの/なばの山/ばの山の/峰に生ふ/に生ふる/たちわか/ちわかれ
17,28,94,ちは/ちはや/はやぶ/やぶる/神代も/代も聞/も聞か/聞かず/竜田川/かみよ/みよも/よもき/もきか/きかず/たつた/つたが/たがは/ちはやぶ/はやぶる/神代も聞/代も聞か/も聞かず/かみよも/みよもき/よもきか/もきかず/たつたが/つたがは
18,28,93,す/住の江/の江の/岸に寄/に寄る/寄る波/よるさ/るさへ/さへや/すみの/みのえ/のえの/きしに/しによ/による/よるな/るなみ/住の江の/岸に寄る/に寄る波/よるさへ/るさへや/すみのえ/みのえの/きしによ/しによる/によるな/よるなみ
19,28,94,なにはが/難波潟/短き蘆/き蘆の/ふしの/しの間/の間も/なには/にはが/はがた/みじか/じかき/かきあ/きあし/あしの/しのま/のまも/短き蘆の/ふしの間/しの間も/にはがた/みじかき/じかきあ/かきあし/きあしの/ふしのま/しのまも/難波
20,28,90,わび/わびぬ/びぬれ/ぬれば/今はた/はたお/たおな/おなじ/難波な/波なる/いまは/まはた/なには/にはな/はなる/わびぬれ/びぬれば/今はたお/はたおな/たおなじ/難波なる/いまはた/まはたお/なにはな/にはなる/びぬ/ぬれ/れば
21,28,91,いまこ/今来む/来むと/言ひし/ひしば/しばか/ばかり/かりに/長月の/まこむ/こむと/いひし/ながつ/がつき/つきの/今来むと/言ひしば/ひしばか/しばかり/ばかりに/いまこむ/まこむと/いひしば/ながつき/がつきの/今来/来む/むと
22,28,92,ふ/吹くか/くから/からに/秋の草/の草木/草木の/しをる/をるれ/るれば/ふくか/あきの/きのく/のくさ/くさき/さきの/吹くから/くからに/秋の草木/の草木の/しをるれ/をるれば/ふくから/あきのく/きのくさ/のくさき/くさきの/吹く
23,28,90,つき/月見れ/見れば/ちぢに/ぢにも/にもの/ものこ/のこそ/悲しけ/しけれ/つきみ/きみれ/みれば/かなし/なしけ/月見れば/ちぢにも/ぢにもの/にものこ/ものこそ/悲しけれ/つきみれ/きみれば/かなしけ/なしけれ/月見/見れ/れば
24,28,94,この/このた/のたび/たびは/ぬさも/さも取/も取り/取りあ/りあへ/あへず/手向山/さもと/もとり/とりあ/たむけ/むけや/けやま/このたび/のたびは/ぬさも取/さも取り/も取りあ/取りあへ/りあへず/ぬさもと/さもとり/もとりあ/とりあへ
25,28,94,なにし/名にし/にし負/し負は/負はば/逢坂山/坂山の/さねか/ねかづ/かづら/にしお/しおは/おはば/あふさ/ふさか/さかや/かやま/やまの/名にし負/にし負は/し負はば/逢坂山の/さねかづ/ねかづら/なにしお/にしおは/しおはば/あふさか
26,28,94,をぐ/小倉山/峰のも/のもみ/もみぢ/みぢ葉/心あら/あらば/をぐら/ぐらや/らやま/みねの/ねのも/みぢば/こころ/ころあ/ろあら/峰のもみ/のもみぢ/もみぢ葉/心あらば/をぐらや/ぐらやま/みねのも/ねのもみ/もみぢば/こころあ/ころあら
27,28,95,みかの/かの原/わきて/きて流/て流る/流るる/かのは/のはら/きてな/てなが/ながる/がるる/いづみ/づみが/みがは/みかの原/わきて流/きて流る/て流るる/みかのは/かのはら/わきてな/きてなが/てながる/ながるる/いづみが/づみがは/みか
28,28,91,やまざ/山里は/冬ぞ寂/ぞ寂し/寂しさ/まさり/さりけ/りける/まざと/ざとは/ふゆぞ/ゆぞさ/ぞさび/さびし/びしさ/冬ぞ寂し/ぞ寂しさ/まさりけ/さりける/やまざと/まざとは/ふゆぞさ/ゆぞさび/ぞさびし/さびしさ/山里/里は/冬ぞ
