札番号,単語数,総文字数,統一分母,単語リスト
15,60,175,262,きみがため　は/君がた/がため/春の野/の野に/野に出/に出で/出でて/若菜摘/菜摘む/きみが/みがた/はるの/るのの/ののに/のにい/にいで/いでて/わかな/かなつ/なつむ/君がため/春の野に/の野に出/野に出で/に出でて/若菜摘む/きみがた/みがため/はるのの/るののに/ののにい/のにいで/にいでて/わかなつ/かなつむ/君が/がた/ため/春の/の野/野に/に出/出で/でて/若菜/菜摘/摘む/きみ/みが/はる/るの/のの/のに/にい/いで/わか/かな/なつ/つむ
16,56,159,262,たち/立ち別/ち別れ/いなば/なばの/ばの山/の山の/峰に生/に生ふ/生ふる/たちわ/ちわか/わかれ/ばのや/のやま/やまの/みねに/ねにお/におふ/おふる/立ち別れ/いなばの/なばの山/ばの山の/峰に生ふ/に生ふる/たちわか/ちわかれ/なばのや/ばのやま/のやまの/みねにお/ねにおふ/におふる/立ち/ち別/別れ/いな/なば/ばの/の山/山の/峰に/に生/生ふ/ふる/ちわ/わか/かれ/のや/やま/まの/みね/ねに/にお/おふ
17,47,132,262,ちは/ちはや/はやぶ/やぶる/神代も/代も聞/も聞か/聞かず/竜田川/かみよ/みよも/よもき/もきか/きかず/たつた/つたが/たがは/ちはやぶ/はやぶる/神代も聞/代も聞か/も聞かず/かみよも/みよもき/よもきか/もきかず/たつたが/つたがは/はや/やぶ/ぶる/神代/代も/も聞/聞か/かず/竜田/田川/かみ/みよ/よも/もき/きか/たつ/つた/たが/がは
18,48,133,262,す/住の江/の江の/岸に寄/に寄る/寄る波/よるさ/るさへ/さへや/すみの/みのえ/のえの/きしに/しによ/による/よるな/るなみ/住の江の/岸に寄る/に寄る波/よるさへ/るさへや/すみのえ/みのえの/きしによ/しによる/によるな/よるなみ/住の/の江/江の/岸に/に寄/寄る/る波/よる/るさ/さへ/へや/すみ/みの/のえ/えの/きし/しに/によ/るな/なみ
19,47,132,262,なにはが/難波潟/短き蘆/き蘆の/ふしの/しの間/の間も/なには/にはが/はがた/みじか/じかき/かきあ/きあし/あしの/しのま/のまも/短き蘆の/ふしの間/しの間も/にはがた/みじかき/じかきあ/かきあし/きあしの/ふしのま/しのまも/難波/波潟/短き/き蘆/蘆の/ふし/しの/の間/間も/なに/には/はが/がた/みじ/じか/かき/きあ/あし/のま/まも
20,41,116,262,わび/わびぬ/びぬれ/ぬれば/今はた/はたお/たおな/おなじ/難波な/波なる/いまは/まはた/なには/にはな/はなる/わびぬれ/びぬれば/今はたお/はたおな/たおなじ/難波なる/いまはた/まはたお/なにはな/にはなる/びぬ/ぬれ/れば/今は/はた/たお/おな/なじ/難波/波な/なる/いま/まは/なに/には/はな
21,44,123,262,いまこ/今来む/来むと/言ひし/ひしば/しばか/ばかり/かりに/長月の/まこむ/こむと/いひし/ながつ/がつき/つきの/今来むと/言ひしば/ひしばか/しばかり/ばかりに/いまこむ/まこむと/いひしば/ながつき/がつきの/今来/来む/むと/言ひ/ひし/しば/ばか/かり/りに/長月/月の/いま/まこ/こむ/いひ/なが/がつ/つき/きの
22,45,126,262,ふ/吹くか/くから/からに/秋の草/の草木/草木の/しをる/をるれ/るれば/ふくか/あきの/きのく/のくさ/くさき/さきの/吹くから/くからに/秋の草木/の草木の/しをるれ/をるれば/ふくから/あきのく/きのくさ/のくさき/くさきの/吹く/くか/から/らに/秋の/の草/草木/木の/しを/をる/るれ/れば/ふく/あき/きの/のく/くさ/さき
23,41,116,262,つき/月見れ/見れば/ちぢに/ぢにも/にもの/ものこ/のこそ/悲しけ/しけれ/つきみ/きみれ/みれば/かなし/なしけ/月見れば/ちぢにも/ぢにもの/にものこ/ものこそ/悲しけれ/つきみれ/きみれば/かなしけ/なしけれ/月見/見れ/れば/ちぢ/ぢに/にも/もの/のこ/こそ/悲し/しけ/けれ/きみ/みれ/かな/なし
24,48,138,262,この/このた/のたび/たびは/ぬさも/さも取/も取り/取りあ/りあへ/あへず/手向山/さもと/もとり/とりあ/たむけ/むけや/けやま/このたび/のたびは/ぬさも取/さも取り/も取りあ/取りあへ/りあへず/ぬさもと/さもとり/もとりあ/とりあへ/たむけや/むけやま/のた/たび/びは/ぬさ/さも/も取/取り/りあ/あへ/へず/手向/向山/もと/とり/たむ/むけ/けや/やま
