札番号,単語数,総文字数,統一分母,単語リスト
60,53,148,262,おほえ/大江山/いく野/く野の/野の道/の道の/遠けれ/ければ/ほえや/えやま/いくの/くのの/ののみ/のみち/みちの/とほけ/ほけれ/おおえ/いく野の/く野の道/野の道の/遠ければ/おほえや/ほえやま/いくのの/くののみ/ののみち/のみちの/とほけれ/ほければ/大江/江山/いく/く野/野の/の道/道の/遠け/けれ/れば/おほ/ほえ/えや/やま/くの/のの/のみ/みち/ちの/とほ/ほけ/おお/おえ
61,45,125,262,いに/いにし/にしへ/しへの/奈良の/良の都/の都の/八重桜/ならの/らのみ/のみや/みやこ/やこの/やへざ/へざく/ざくら/いにしへ/にしへの/奈良の都/良の都の/ならのみ/らのみや/のみやこ/みやこの/やへざく/へざくら/にし/しへ/への/奈良/良の/の都/都の/八重/重桜/なら/らの/のみ/みや/やこ/この/やへ/へざ/ざく/くら
62,49,138,262,よを/夜をこ/をこめ/こめて/鳥の空/の空音/空音は/謀ると/るとも/よをこ/とりの/りのそ/のそら/そらね/らねは/はかる/かると/夜をこめ/をこめて/鳥の空音/の空音は/謀るとも/よをこめ/とりのそ/りのそら/のそらね/そらねは/はかると/かるとも/夜を/をこ/こめ/めて/鳥の/の空/空音/音は/謀る/ると/とも/とり/りの/のそ/そら/らね/ねは/はか/かる/よお
63,45,129,262,いまは/今はた/はただ/思ひ絶/ひ絶え/絶えな/えなむ/とばか/ばかり/かりを/まはた/おもひ/もひた/ひたえ/たえな/今はただ/思ひ絶え/ひ絶えな/絶えなむ/とばかり/ばかりを/いまはた/まはただ/おもひた/もひたえ/ひたえな/たえなむ/今は/はた/ただ/思ひ/ひ絶/絶え/えな/なむ/とば/ばか/かり/りを/いま/まは/おも/もひ/ひた/たえ
64,46,134,262,あさぼらけ　う/朝ぼら/ぼらけ/宇治の/治の川/の川霧/たえだ/えだえ/だえに/あさぼ/さぼら/うぢの/ぢのか/のかは/かはぎ/はぎり/朝ぼらけ/宇治の川/治の川霧/たえだえ/えだえに/あさぼら/さぼらけ/うぢのか/ぢのかは/のかはぎ/かはぎり/朝ぼ/ぼら/らけ/宇治/治の/の川/川霧/たえ/えだ/だえ/えに/あさ/さぼ/うぢ/ぢの/のか/かは/はぎ/ぎり
65,44,127,262,うら/恨みわ/みわび/ほさぬ/さぬ袖/ぬ袖だ/袖だに/あるも/るもの/ものを/うらみ/らみわ/さぬそ/ぬそで/そでだ/でだに/恨みわび/ほさぬ袖/さぬ袖だ/ぬ袖だに/あるもの/るものを/うらみわ/らみわび/ほさぬそ/さぬそで/ぬそでだ/そでだに/恨み/みわ/わび/ほさ/さぬ/ぬ袖/袖だ/だに/ある/るも/もの/のを/らみ/ぬそ/そで/でだ
66,40,113,262,もろ/もろと/ろとも/ともに/あはれ/はれと/れと思/と思へ/れとお/とおも/おもへ/やまざ/まざく/ざくら/もろとも/ろともに/あはれと/はれと思/れと思へ/はれとお/れとおも/とおもへ/やまざく/まざくら/ろと/とも/もに/あは/はれ/れと/と思/思へ/山桜/とお/おも/もへ/やま/まざ/ざく/くら
67,45,125,262,はるの/春の夜/の夜の/夢ばか/ばかり/かりな/りなる/手枕に/るのよ/のよの/ゆめば/めばか/たまく/まくら/くらに/春の夜の/夢ばかり/ばかりな/かりなる/はるのよ/るのよの/ゆめばか/めばかり/たまくら/まくらに/春の/の夜/夜の/夢ば/ばか/かり/りな/なる/手枕/枕に/はる/るの/のよ/よの/ゆめ/めば/たま/まく/くら/らに
68,50,143,262,こころに/心にも/あらで/らで憂/で憂き/憂き夜/き夜に/長らへ/らへば/こころ/ころに/ろにも/らでう/でうき/うきよ/きよに/ながら/がらへ/あらで憂/らで憂き/で憂き夜/憂き夜に/長らへば/ころにも/あらでう/らでうき/でうきよ/うきよに/ながらへ/がらへば/心に/にも/あら/らで/で憂/憂き/き夜/夜に/長ら/らへ/へば/ここ/ころ/ろに/でう/うき/きよ/よに/なが/がら
69,51,143,262,あらし/嵐吹く/三室の/室の山/の山の/もみぢ/みぢ葉/ぢ葉は/らしふ/しふく/みむろ/むろの/ろのや/のやま/やまの/みぢば/ぢばは/三室の山/室の山の/もみぢ葉/みぢ葉は/あらしふ/らしふく/みむろの/むろのや/ろのやま/のやまの/もみぢば/みぢばは/嵐吹/吹く/三室/室の/の山/山の/もみ/みぢ/ぢ葉/葉は/あら/らし/しふ/ふく/みむ/むろ/ろの/のや/やま/まの/ぢば/ばは
70,54,153,262,さ/寂しさ/しさに/宿を立/を立ち/立ち出/ち出で/出でて/ながむ/がむれ/むれば/さびし/びしさ/やどを/どをた/をたち/たちい/ちいで/いでて/寂しさに/宿を立ち/を立ち出/立ち出で/ち出でて/ながむれ/がむれば/さびしさ/びしさに/やどをた/どをたち/をたちい/たちいで/ちいでて/寂し/しさ/さに/宿を/を立/立ち/ち出/出で/でて/なが/がむ/むれ/れば/さび/びし/やど/どを/をた/たち/ちい/いで
71,48,134,262,ゆふ/夕され/されば/門田の/田の稲/の稲葉/訪れて/ゆふさ/ふされ/かどた/どたの/たのい/のいな/いなば/おとづ/とづれ/づれて/夕されば/門田の稲/田の稲葉/ゆふされ/ふされば/かどたの/どたのい/たのいな/のいなば/おとづれ/とづれて/夕さ/され/れば/門田/田の/の稲/稲葉/訪れ/れて/ふさ/かど/どた/たの/のい/いな/なば/おと/とづ/づれ/ゆう
72,53,148,262,おと/音に聞/に聞く/高師の/師の浜/の浜の/あだ波/だ波は/おとに/とにき/にきく/たかし/かしの/しのは/のはま/はまの/あだな/だなみ/なみは/音に聞く/高師の浜/師の浜の/あだ波は/おとにき/とにきく/たかしの/かしのは/しのはま/のはまの/あだなみ/だなみは/音に/に聞/聞く/高師/師の/の浜/浜の/あだ/だ波/波は/とに/にき/きく/たか/かし/しの/のは/はま/まの/だな/なみ/みは
73,48,134,262,たか/高砂の/尾の上/の上の/上の桜/咲きに/きにけ/にけり/たかさ/かさご/さごの/をのへ/のへの/へのさ/のさく/さくら/さきに/尾の上の/の上の桜/咲きにけ/きにけり/たかさご/かさごの/をのへの/のへのさ/へのさく/のさくら/さきにけ/高砂/砂の/尾の/の上/上の/の桜/咲き/きに/にけ/けり/かさ/さご/ごの/をの/のへ/への/のさ/さく/くら/さき
74,51,145,262,うか/憂かり/かりけ/りける/人を初/を初瀬/初瀬の/山おろ/おろし/ろしよ/うかり/ひとを/とをは/をはつ/はつせ/つせの/やまお/まおろ/憂かりけ/かりける/人を初瀬/を初瀬の/山おろし/おろしよ/うかりけ/ひとをは/とをはつ/をはつせ/はつせの/やまおろ/まおろし/憂か/かり/りけ/ける/人を/を初/初瀬/瀬の/山お/おろ/ろし/しよ/ひと/とを/をは/はつ/つせ/せの/やま/まお
75,47,134,262,ちぎりお/契りお/りおき/おきし/させも/せもが/もが露/が露を/命にて/ちぎり/ぎりお/もがつ/がつゆ/つゆを/いのち/のちに/ちにて/契りおき/りおきし/させもが/せもが露/もが露を/ぎりおき/せもがつ/もがつゆ/がつゆを/いのちに/のちにて/契り/りお/おき/きし/させ/せも/もが/が露/露を/命に/にて/ちぎ/ぎり/がつ/つゆ/ゆを/いの/のち/ちに
76,55,164,262,わたのはら　こ/わたの/たの原/漕ぎ出/ぎ出で/出でて/でて見/て見れ/見れば/ひさか/さかた/かたの/たのは/のはら/こぎい/ぎいで/いでて/でてみ/てみれ/みれば/わたの原/漕ぎ出で/ぎ出でて/出でて見/でて見れ/て見れば/ひさかた/さかたの/わたのは/たのはら/こぎいで/ぎいでて/いでてみ/でてみれ/てみれば/わた/たの/の原/漕ぎ/ぎ出/出で/でて/て見/見れ/れば/ひさ/さか/かた/のは/はら/こぎ/ぎい/いで/てみ/みれ
77,43,119,262,せ/瀬をは/をはや/はやみ/岩にせ/にせか/せかる/かるる/滝川の/せをは/いはに/はにせ/たきが/きがは/がはの/瀬をはや/をはやみ/岩にせか/にせかる/せかるる/せをはや/いはにせ/はにせか/たきがは/きがはの/瀬を/をは/はや/やみ/岩に/にせ/せか/かる/るる/滝川/川の/せを/いは/はに/たき/きが/がは/はの
78,54,148,262,あはぢ/淡路島/通ふ千/ふ千鳥/千鳥の/鳴く声/く声に/はぢし/ぢしま/かよふ/よふち/ふちど/ちどり/どりの/なくこ/くこゑ/こゑに/あわじ/通ふ千鳥/ふ千鳥の/鳴く声に/あはぢし/はぢしま/かよふち/よふちど/ふちどり/ちどりの/なくこゑ/くこゑに/淡路/路島/通ふ/ふ千/千鳥/鳥の/鳴く/く声/声に/あは/はぢ/ぢし/しま/かよ/よふ/ふち/ちど/どり/りの/なく/くこ/こゑ/ゑに/あわ/わじ
79,50,141,262,あきか/秋風に/たなび/なびく/びく雲/く雲の/絶え間/え間よ/間より/きかぜ/かぜに/びくく/くくも/くもの/たえま/えまよ/まより/たなびく/なびく雲/びく雲の/絶え間よ/え間より/あきかぜ/きかぜに/なびくく/びくくも/くくもの/たえまよ/えまより/秋風/風に/たな/なび/びく/く雲/雲の/絶え/え間/間よ/より/あき/きか/かぜ/ぜに/くく/くも/もの/たえ/えま/まよ
80,47,132,262,ながか/長から/からむ/心も知/も知ら/知らず/黒髪の/がから/こころ/ころも/ろもし/もしら/しらず/くろか/ろかみ/かみの/長からむ/心も知ら/も知らず/ながから/がからむ/こころも/ころもし/ろもしら/もしらず/くろかみ/ろかみの/長か/から/らむ/心も/も知/知ら/らず/黒髪/髪の/なが/がか/ここ/ころ/ろも/もし/しら/くろ/ろか/かみ/みの
81,43,121,262,ほ/ほとと/ととぎ/とぎす/鳴きつ/きつる/つる方/る方を/ながむ/がむれ/むれば/なきつ/つるか/るかた/かたを/ほととぎ/ととぎす/鳴きつる/きつる方/つる方を/ながむれ/がむれば/なきつる/きつるか/つるかた/るかたを/ほと/とと/とぎ/ぎす/鳴き/きつ/つる/る方/方を/なが/がむ/むれ/れば/なき/るか/かた/たを
82,43,123,262,おもひ/思ひわ/ひわび/さても/ても命/も命は/あるも/るもの/ものを/もひわ/てもい/もいの/いのち/のちは/おもい/思ひわび/さても命/ても命は/あるもの/るものを/おもひわ/もひわび/さてもい/てもいの/もいのち/いのちは/思ひ/ひわ/わび/さて/ても/も命/命は/ある/るも/もの/のを/おも/もひ/もい/いの/のち/ちは
83,49,139,262,よのなかよ/世の中/の中よ/道こそ/こそな/そなけ/なけれ/思ひ入/ひ入る/よのな/のなか/なかよ/みちこ/ちこそ/おもひ/もひい/ひいる/世の中よ/道こそな/こそなけ/そなけれ/思ひ入る/よのなか/のなかよ/みちこそ/ちこそな/おもひい/もひいる/世の/の中/中よ/道こ/こそ/そな/なけ/けれ/思ひ/ひ入/入る/よの/のな/なか/かよ/みち/ちこ/おも/もひ/ひい/いる
84,36,102,262,ながら/長らへ/らへば/またこ/たこの/このご/のごろ/ごろや/しのば/のばれ/ばれむ/がらへ/長らへば/またこの/たこのご/このごろ/のごろや/しのばれ/のばれむ/ながらへ/がらへば/長ら/らへ/へば/また/たこ/この/のご/ごろ/ろや/しの/のば/ばれ/れむ/なが/がら
85,48,138,262,よも/夜もす/もすが/すがら/物思ふ/思ふこ/ふころ/ころは/明けや/けやら/やらで/よもす/ものお/のおも/おもふ/もふこ/あけや/夜もすが/もすがら/物思ふこ/思ふころ/ふころは/明けやら/けやらで/よもすが/ものおも/のおもふ/おもふこ/もふころ/あけやら/夜も/もす/すが/がら/物思/思ふ/ふこ/ころ/ろは/明け/けや/やら/らで/もの/のお/おも/もふ/あけ
86,47,134,262,なげけ/嘆けと/けとて/月やは/やは物/は物を/思はす/はする/げけと/つきや/きやは/やはも/はもの/ものを/おもは/もはす/嘆けとて/月やは物/やは物を/思はする/なげけと/げけとて/つきやは/きやはも/やはもの/はものを/おもはす/もはする/嘆け/けと/とて/月や/やは/は物/物を/思は/はす/する/なげ/げけ/つき/きや/はも/もの/のを/おも/もは
87,55,153,262,む/村雨の/露もま/もまだ/まだ干/だ干ぬ/真木の/木の葉/の葉に/むらさ/らさめ/さめの/つゆも/ゆもま/まだひ/だひぬ/まきの/きのは/のはに/露もまだ/もまだ干/まだ干ぬ/真木の葉/木の葉に/むらさめ/らさめの/つゆもま/ゆもまだ/もまだひ/まだひぬ/まきのは/きのはに/村雨/雨の/露も/もま/まだ/だ干/干ぬ/真木/木の/の葉/葉に/むら/らさ/さめ/めの/つゆ/ゆも/だひ/ひぬ/まき/きの/のは/はに
88,42,118,262,なにはえ/難波江/波江の/蘆のか/のかり/かりね/りねの/ひとよ/とよゆ/よゆゑ/なには/にはえ/はえの/あしの/しのか/難波江の/蘆のかり/のかりね/かりねの/ひとよゆ/とよゆゑ/にはえの/あしのか/しのかり/難波/波江/江の/蘆の/のか/かり/りね/ねの/ひと/とよ/よゆ/ゆゑ/なに/には/はえ/えの/あし/しの
89,48,139,262,たま/玉の緒/の緒よ/絶えな/えなば/なば絶/ば絶え/絶えね/ながら/がらへ/らへば/たまの/まのを/のをよ/たえな/なばた/ばたえ/たえね/玉の緒よ/絶えなば/えなば絶/なば絶え/ば絶えね/ながらへ/がらへば/たまのを/まのをよ/たえなば/えなばた/なばたえ/ばたえね/玉の/の緒/緒よ/絶え/えな/なば/ば絶/えね/なが/がら/らへ/へば/まの/のを/をよ/たえ/ばた
90,50,143,262,みせ/見せば/せばや/ばやな/雄島の/島の海/の海人/海人の/袖だに/だにも/みせば/をじま/じまの/まのあ/のあま/あまの/そでだ/でだに/見せばや/せばやな/雄島の海/島の海人/の海人の/袖だにも/みせばや/をじまの/じまのあ/まのあま/のあまの/そでだに/でだにも/見せ/せば/ばや/やな/雄島/島の/の海/海人/人の/袖だ/だに/にも/をじ/じま/まの/のあ/あま/そで/でだ
91,44,125,262,きり/きりぎ/りぎり/ぎりす/鳴くや/くや霜/や霜夜/霜夜の/さむし/むしろ/しろに/なくや/くやし/やしも/しもよ/もよの/きりぎり/りぎりす/鳴くや霜/くや霜夜/や霜夜の/さむしろ/むしろに/なくやし/くやしも/やしもよ/しもよの/りぎ/ぎり/りす/鳴く/くや/や霜/霜夜/夜の/さむ/むし/しろ/ろに/なく/やし/しも/もよ/よの
92,58,164,262,わがそ/わが袖/が袖は/潮干に/干に見/に見え/見えぬ/沖の石/の石の/がそで/そでは/しほひ/ほひに/ひにみ/にみえ/みえぬ/おきの/きのい/のいし/いしの/わが袖は/潮干に見/干に見え/に見えぬ/沖の石の/わがそで/がそでは/しほひに/ほひにみ/ひにみえ/にみえぬ/おきのい/きのいし/のいしの/わが/が袖/袖は/潮干/干に/に見/見え/えぬ/沖の/の石/石の/がそ/そで/では/しほ/ほひ/ひに/にみ/みえ/おき/きの/のい/いし/しの
93,46,130,262,よのなかは/世の中/の中は/常にも/にもが/もがも/がもな/渚漕ぐ/よのな/のなか/なかは/つねに/ねにも/なぎさ/ぎさこ/さこぐ/世の中は/常にもが/にもがも/もがもな/よのなか/のなかは/つねにも/ねにもが/なぎさこ/ぎさこぐ/世の/の中/中は/常に/にも/もが/がも/もな/渚漕/漕ぐ/よの/のな/なか/かは/つね/ねに/なぎ/ぎさ/さこ/こぐ
94,52,146,262,みよ/み吉野/吉野の/山の秋/の秋風/さよ更/よ更け/更けて/みよし/よしの/しのの/やまの/まのあ/のあき/あきか/きかぜ/さよふ/よふけ/ふけて/み吉野の/山の秋風/さよ更け/よ更けて/みよしの/よしのの/やまのあ/まのあき/のあきか/あきかぜ/さよふけ/よふけて/み吉/吉野/野の/山の/の秋/秋風/さよ/よ更/更け/けて/よし/しの/のの/やま/まの/のあ/あき/きか/かぜ/よふ/ふけ
95,47,132,262,おほけ/ほけな/けなく/憂き世/き世の/世の民/の民に/おほふ/ほふか/ふかな/うきよ/きよの/よのた/のたみ/たみに/おおけ/おほけな/ほけなく/憂き世の/き世の民/世の民に/おほふか/ほふかな/うきよの/きよのた/よのたみ/のたみに/おほ/ほけ/けな/なく/憂き/き世/世の/の民/民に/ほふ/ふか/かな/うき/きよ/よの/のた/たみ/みに/おお/おけ
96,45,127,262,はなさ/花さそ/さそふ/嵐の庭/の庭の/雪なら/ならで/なさそ/あらし/らしの/しのに/のには/にはの/ゆきな/きなら/花さそふ/嵐の庭の/雪ならで/はなさそ/なさそふ/あらしの/らしのに/しのには/のにはの/ゆきなら/きならで/花さ/さそ/そふ/嵐の/の庭/庭の/雪な/なら/らで/はな/なさ/あら/らし/しの/のに/には/はの/ゆき/きな
97,51,143,262,こぬ/来ぬ人/ぬ人を/松帆の/帆の浦/の浦の/夕なぎ/なぎに/こぬひ/ぬひと/ひとを/まつほ/つほの/ほのう/のうら/うらの/ゆふな/ふなぎ/来ぬ人を/松帆の浦/帆の浦の/夕なぎに/こぬひと/ぬひとを/まつほの/つほのう/ほのうら/のうらの/ゆふなぎ/ふなぎに/来ぬ/ぬ人/人を/松帆/帆の/の浦/浦の/夕な/なぎ/ぎに/ぬひ/ひと/とを/まつ/つほ/ほの/のう/うら/らの/ゆふ/ふな
98,48,134,262,かぜそ/風そよ/そよぐ/楢の小/の小川/小川の/夕暮は/ぜそよ/ならの/らのを/のをが/をがは/がはの/ゆふぐ/ふぐれ/ぐれは/風そよぐ/楢の小川/の小川の/かぜそよ/ぜそよぐ/ならのを/らのをが/のをがは/をがはの/ゆふぐれ/ふぐれは/風そ/そよ/よぐ/楢の/の小/小川/川の/夕暮/暮は/かぜ/ぜそ/なら/らの/のを/をが/がは/はの/ゆふ/ふぐ/ぐれ/れは
99,43,123,262,ひとも/人も惜/も惜し/人も恨/も恨め/恨めし/あぢき/ぢきな/きなく/ともを/もをし/ともう/もうら/うらめ/らめし/人も惜し/人も恨め/も恨めし/あぢきな/ぢきなく/ひともを/ともをし/ひともう/ともうら/もうらめ/うらめし/人も/も惜/惜し/も恨/恨め/めし/あぢ/ぢき/きな/なく/ひと/とも/もを/をし/もう/うら/らめ
100,45,125,262,もも/百敷や/古き軒/き軒端/軒端の/しのぶ/のぶに/ぶにも/ももし/もしき/しきや/ふるき/るきの/きのき/のきば/きばの/古き軒端/き軒端の/しのぶに/のぶにも/ももしき/もしきや/ふるきの/るきのき/きのきば/のきばの/百敷/敷や/古き/き軒/軒端/端の/しの/のぶ/ぶに/にも/もし/しき/きや/ふる/るき/きの/のき/きば/ばの
0,89,262,262,なにわづ/難波津/波津に/津に咲/に咲く/咲くや/くやこ/やこの/この花/冬ごも/ごもり/もり今/り今は/今は春/は春べ/春べと/べと咲/と咲く/なにわ/にわづ/わづに/さくや/このは/のはな/ふゆご/ゆごも/いまは/まはは/ははる/はるべ/るべと/難波津に/波津に咲/津に咲く/に咲くや/咲くやこ/くやこの/やこの花/冬ごもり/ごもり今/もり今は/り今は春/今は春べ/は春べと/春べと咲/べと咲く/と咲くや/にわづに/さくやこ/やこのは/このはな/ふゆごも/ゆごもり/いまはは/まははる/ははるべ/はるべと/難波/波津/津に/に咲/咲く/くや/やこ/この/の花/冬ご/ごも/もり/り今/今は/は春/春べ/べと/と咲/なに/にわ/わづ/づに/さく/のは/はな/ふゆ/ゆご/いま/まは/はは/はる/るべ
