札番号,単語数,総文字数,単語リスト
36,21,50,なつ/夏の/夏の夜/夜は/の夜は/のよ/のよは/よは/まだ/まだ宵/がら/ながら/よひ/なが/だよひ/明け/明けぬ/るを/ぬるを/あけ/ぬる
37,23,54,しら/白露/白露に/露に/つゆ/つゆに/ゆに/風の/風の吹/しく/きしく/かぜ/のふ/きし/ぜのふ/秋の/秋の野/野は/の野は/あき/のの/ののは/のは
38,22,53,わすら/忘ら/忘らる/るる/らるる/わす/らる/身を/身をば/はず/思はず/みを/ばお/もは/もはず/をばお/誓ひ/誓ひて/てし/ひてし/ちか/ひて
39,25,61,あさぢ/あさじ/浅茅/浅茅生/生の/茅生の/あさ/ぢふ/ぢふの/ふの/小野/小野の/篠原/の篠原/をの/のし/のは/のはら/ののし/はら/しの/しのぶ/れど/ぶれど/ぶれ
40,20,48,しの/しのぶ/れど/ぶれど/ぶれ/色に/色に出/けり/にけり/いろ/にい/でに/ろにい/わが/わが恋/恋は/が恋は/こひ/こひは/ひは
41,20,47,こひ/こい/恋す/恋すて/てふ/すてふ/すて/わが/わが名/だき/まだき/なは/まだ/がなは/立ち/立ちに/けり/にけり/たち/にけ
42,21,52,ちぎりき/契り/契りき/きな/りきな/ちぎ/りき/かた/かたみ/袖を/に袖を/みに/そで/そでを/たみに/でを/しぼ/しぼり/つつ/りつつ/りつ
43,22,53,あひ/あい/逢ひ/逢ひ見/ての/見ての/みて/みての/のち/のちの/心に/の心に/のこ/ころ/ころに/ちのこ/ろに/くら/くらぶ/れば/ぶれば/ぶれ
44,20,49,あふこ/おおこ/逢ふ/逢ふこ/との/ことの/あふ/こと/絶え/絶えて/くは/なくは/たえ/てし/なく/えてし/なか/なかな/かに/なかに
45,21,51,あはれ/あわれ/あは/とも/れとも/れと/いふ/いふべ/人は/き人は/べき/ひと/ひとは/ふべき/とは/思ほ/思ほえ/えで/ほえで/おも/ほえ
46,25,60,ゆら/由良/由良の/門を/の門を/のと/のとを/とを/渡る/渡る舟/舟人/る舟人/わた/るふ/なび/なびと/たるふ/びと/かぢ/かぢを/絶え/を絶え/をた/をたえ/たえ
47,21,50,やへ/やえ/八重/八重む/ぐら/むぐら/むぐ/しげ/しげれ/宿の/る宿の/れる/やど/やどの/げれる/どの/さび/さびし/きに/しきに/しき
48,22,53,かぜを/風を/風をい/たみ/いたみ/かぜ/をい/岩う/岩うつ/波の/つ波の/いは/うつ/なみ/なみの/はうつ/みの/おの/おのれ/のみ/れのみ/れの
49,26,62,みかき/御垣/御垣守/垣守/みか/きも/きもり/もり/衛士/衛士の/火の/く火の/ゑじ/のた/くひ/くひの/じのた/ひの/夜は/夜は燃/燃え/は燃え/よる/はも/はもえ/もえ
50,21,53,きみがためを/君が/君がた/ため/がため/きみ/がた/惜し/惜しか/りし/ざりし/をし/から/ざり/しから/命さ/命さへ/さへ/いの/ちさ/ちさへ
51,21,51,かく/かくと/だに/とだに/とだ/えや/えやは/吹の/伊吹の/はい/ぶき/ぶきの/やはい/きの/さし/さしも/も草/しも草/もぐ/もぐさ/ぐさ
52,20,47,あけ/明け/明けぬ/れば/ぬれば/ぬれ/暮る/暮るる/とは/のとは/くる/るも/のと/るるも/知り/知りな/がら/ながら/しり/なが
53,24,58,なげき/嘆き/嘆きつ/つつ/きつつ/なげ/きつ/ひと/ひとり/夜の/る夜の/りね/るよ/るよの/とりね/よの/明く/明くる/間は/る間は/あく/るま/るまは/まは
54,19,46,わすれ/忘れ/忘れじ/じの/れじの/わす/れじ/ゆく/ゆく末/では/までは/すゑ/まで/くすゑ/かた/かたけ/れば/ければ/けれ
55,22,53,たき/滝の/滝の音/音は/の音は/のお/おとは/とは/絶え/絶えて/しく/久しく/たえ/てひ/さし/さしく/えてひ/なり/なりぬ/れど/ぬれど/ぬれ
56,20,48,あらざ/あら/らむ/ざらむ/ざら/この/この世/かの/ほかの/よの/ほか/のよの/思ひ/思ひ出/出に/ひ出に/おも/ひで/ひでに/でに
57,22,52,め/めぐ/めぐり/ひて/逢ひて/りあ/あひて/見し/見しや/とも/れとも/みし/やそ/れと/しやそ/わか/わかぬ/間に/ぬ間に/ぬま/ぬまに/まに
58,25,60,ありま/有馬/有馬山/馬山/あり/まや/まやま/やま/猪名/猪名の/笹原/の笹原/ゐな/のさ/さは/さはら/なのさ/はら/風吹/風吹け/けば/吹けば/かぜ/ふけ/ふけば
59,20,48,やす/やすら/はで/らはで/らは/寝な/寝なま/のを/ものを/ねな/まし/もの/なまし/さ夜/さ夜更/けて/更けて/さよ/ふけ/ふけて
60,24,58,おほえ/おおえ/大江/大江山/江山/おほ/えや/えやま/やま/いく/いく野/道の/の道の/のの/みち/みちの/くのの/ちの/遠け/遠けれ/れば/ければ/とほ/けれ
