札番号,単語数,総文字数,単語リスト
28,25,66,やまざ/山里/里は/山里は/冬ぞ/ぞ寂/寂し/しさ/冬ぞ寂/ぞ寂し/寂しさ/冬ぞ寂し/ぞ寂しさ/まさ/さり/りけ/ける/まさり/さりけ/りける/まさりけ/さりける/やま/まざ/ざと
29,25,70,こころあ/心あ/あて/てに/心あて/あてに/心あてに/折ら/らば/ばや/や折/らむ/折らば/らばや/ばや折/や折ら/折らむ/折らばや/らばや折/ばや折ら/や折らむ/初霜/霜の/初霜の/ここ
30,25,69,ありあ/有明/明の/有明の/つれ/れな/なく/く見/見え/えし/つれな/れなく/なく見/く見え/見えし/つれなく/れなく見/なく見え/く見えし/別れ/れよ/より/別れよ/れより/別れより
31,25,73,あさぼらけ　あ/朝ぼ/ぼら/らけ/朝ぼら/ぼらけ/朝ぼらけ/有明/明の/の月/月と/有明の/明の月/の月と/有明の月/明の月と/見る/るま/まで/でに/見るま/るまで/までに/見るまで/るまでに
32,25,69,やまが/山川/川に/山川に/風の/のか/かけ/けた/たる/風のか/のかけ/かけた/けたる/風のかけ/のかけた/かけたる/しが/がら/らみ/みは/しがら/がらみ/らみは/しがらみ/がらみは
33,25,68,ひさ/さか/かた/たの/ひさか/さかた/かたの/ひさかた/さかたの/光の/のど/どけ/けき/光のど/のどけ/どけき/光のどけ/のどけき/春の/の日/日に/春の日/の日に/春の日に/ひか
34,25,67,たれ/誰を/をか/かも/誰をか/をかも/誰をかも/知る/る人/人に/にせ/せむ/知る人/る人に/人にせ/にせむ/知る人に/る人にせ/人にせむ/高砂/砂の/高砂の/れを/たれを/れをか
35,25,69,ひとは/人は/はい/いさ/人はい/はいさ/人はいさ/心も/も知/知ら/らず/心も知/も知ら/知らず/心も知ら/も知らず/ふる/るさ/さと/とは/ふるさ/るさと/さとは/ふるさと/るさとは
36,25,66,なつ/夏の/の夜/夜は/夏の夜/の夜は/夏の夜は/まだ/だ宵/宵な/なが/がら/まだ宵/だ宵な/宵なが/ながら/まだ宵な/だ宵なが/宵ながら/明け/けぬ/ぬる/るを/明けぬ/けぬる
37,25,65,しら/白露/露に/白露に/風の/の吹/吹き/きし/しく/風の吹/の吹き/吹きし/きしく/風の吹き/の吹きし/吹きしく/秋の/の野/野は/秋の野/の野は/秋の野は/らつ/つゆ/ゆに
38,25,69,わすら/忘ら/らる/るる/忘らる/らるる/忘らるる/身を/をば/ば思/思は/はず/身をば/をば思/ば思は/思はず/身をば思/をば思は/ば思はず/誓ひ/ひて/てし/誓ひて/ひてし/誓ひてし
39,25,69,あさぢ/浅茅/茅生/生の/浅茅生/茅生の/浅茅生の/小野/野の/の篠/篠原/小野の/野の篠/の篠原/小野の篠/野の篠原/しの/のぶ/ぶれ/れど/しのぶ/のぶれ/ぶれど/しのぶれ/のぶれど
40,25,70,しの/のぶ/ぶれ/れど/しのぶ/のぶれ/ぶれど/しのぶれ/のぶれど/色に/に出/出で/でに/にけ/けり/色に出/に出で/出でに/でにけ/にけり/色に出で/に出でに/出でにけ/でにけり/わが
41,25,67,こひ/恋す/すて/てふ/恋すて/すてふ/恋すてふ/わが/が名/名は/はま/まだ/だき/わが名/が名は/名はま/はまだ/まだき/わが名は/が名はま/名はまだ/はまだき/立ち/ちに/にけ
42,25,68,ちぎりき/契り/りき/きな/契りき/りきな/契りきな/かた/たみ/みに/に袖/袖を/かたみ/たみに/みに袖/に袖を/かたみに/たみに袖/みに袖を/しぼ/ぼり/りつ/つつ/しぼり/ぼりつ
43,25,66,あひ/逢ひ/ひ見/見て/ての/逢ひ見/ひ見て/見ての/逢ひ見て/ひ見ての/のち/ちの/の心/心に/のちの/ちの心/の心に/のちの心/ちの心に/くら/らぶ/ぶれ/れば/くらぶ/らぶれ
44,25,71,あふこ/逢ふ/ふこ/こと/との/逢ふこ/ふこと/ことの/逢ふこと/ふことの/絶え/えて/てし/しな/なく/くは/絶えて/えてし/てしな/しなく/なくは/絶えてし/えてしな/てしなく/しなくは
45,25,68,あはれ/あは/はれ/れと/とも/はれと/れとも/あはれと/はれとも/いふ/ふべ/べき/き人/人は/いふべ/ふべき/べき人/き人は/いふべき/ふべき人/べき人は/思ほ/ほえ/えで/思ほえ
46,25,68,ゆら/由良/良の/の門/門を/由良の/良の門/の門を/由良の門/良の門を/渡る/る舟/舟人/渡る舟/る舟人/渡る舟人/かぢ/ぢを/を絶/絶え/かぢを/ぢを絶/を絶え/かぢを絶/ぢを絶え
47,25,67,やへ/八重/重む/むぐ/ぐら/八重む/重むぐ/むぐら/八重むぐ/重むぐら/しげ/げれ/れる/る宿/宿の/しげれ/げれる/れる宿/る宿の/しげれる/げれる宿/れる宿の/さび/びし/しき
48,25,67,かぜを/風を/をい/いた/たみ/風をい/をいた/いたみ/風をいた/をいたみ/岩う/うつ/つ波/波の/岩うつ/うつ波/つ波の/岩うつ波/うつ波の/おの/のれ/れの/のみ/おのれ/のれの
49,25,69,みかき/御垣/垣守/御垣守/衛士/士の/のた/たく/く火/火の/衛士の/士のた/のたく/たく火/く火の/衛士のた/士のたく/のたく火/たく火の/夜は/は燃/燃え/夜は燃/は燃え/夜は燃え
50,25,73,きみがため　を/君が/がた/ため/君がた/がため/君がため/惜し/しか/から/らざ/ざり/りし/惜しか/しから/からざ/らざり/ざりし/惜しから/しからざ/からざり/らざりし/命さ/さへ/命さへ
51,25,68,かく/くと/とだ/だに/かくと/くとだ/とだに/かくとだ/くとだに/えや/やは/は伊/伊吹/吹の/えやは/やは伊/は伊吹/伊吹の/えやは伊/やは伊吹/は伊吹の/さし/しも/も草/さしも
52,25,70,あけ/明け/けぬ/ぬれ/れば/明けぬ/けぬれ/ぬれば/明けぬれ/けぬれば/暮る/るる/るも/もの/のと/とは/暮るる/るるも/るもの/ものと/のとは/暮るるも/るるもの/るものと/ものとは
53,25,68,なげき/嘆き/きつ/つつ/嘆きつ/きつつ/嘆きつつ/ひと/とり/り寝/寝る/る夜/夜の/ひとり/とり寝/り寝る/寝る夜/る夜の/ひとり寝/とり寝る/り寝る夜/寝る夜の/明く/くる/る間
54,25,67,わすれ/忘れ/れじ/じの/忘れじ/れじの/忘れじの/ゆく/く末/末ま/まで/では/ゆく末/く末ま/末まで/までは/ゆく末ま/く末まで/末までは/かた/たけ/けれ/れば/かたけ/たけれ
55,25,66,たき/滝の/の音/音は/滝の音/の音は/滝の音は/絶え/えて/て久/久し/しく/絶えて/えて久/て久し/久しく/絶えて久/えて久し/て久しく/なり/りぬ/ぬれ/れど/なりぬ/りぬれ
56,25,70,あらざ/あら/らざ/ざら/らむ/らざら/ざらむ/あらざら/らざらむ/この/の世/世の/のほ/ほか/かの/この世/の世の/世のほ/のほか/ほかの/この世の/の世のほ/世のほか/のほかの/思ひ
57,25,69,めぐ/ぐり/り逢/逢ひ/ひて/めぐり/ぐり逢/り逢ひ/逢ひて/めぐり逢/ぐり逢ひ/り逢ひて/見し/しや/やそ/それ/れと/とも/見しや/しやそ/やそれ/それと/れとも/見しやそ/しやそれ
58,25,65,ありま/有馬/馬山/有馬山/猪名/名の/の笹/笹原/猪名の/名の笹/の笹原/猪名の笹/名の笹原/風吹/吹け/けば/風吹け/吹けば/風吹けば/あり/りま/まや/やま/りまや/まやま
59,25,70,やす/すら/らは/はで/やすら/すらは/らはで/やすらは/すらはで/寝な/なま/まし/しも/もの/のを/寝なま/なまし/ましも/しもの/ものを/寝なまし/なましも/ましもの/しものを/さ夜
60,25,66,おほえ/大江/江山/大江山/いく/く野/野の/の道/道の/いく野/く野の/野の道/の道の/いく野の/く野の道/野の道の/遠け/けれ/れば/遠けれ/ければ/遠ければ/おほ/ほえ/えや
61,25,65,いに/にし/しへ/への/いにし/にしへ/しへの/いにしへ/にしへの/奈良/良の/の都/都の/奈良の/良の都/の都の/奈良の都/良の都の/八重/重桜/八重桜/なら/らの/のみ/みや
62,25,68,よを/夜を/をこ/こめ/めて/夜をこ/をこめ/こめて/夜をこめ/をこめて/鳥の/の空/空音/音は/鳥の空/の空音/空音は/鳥の空音/の空音は/謀る/ると/とも/謀ると/るとも/謀るとも
63,25,67,いまは/今は/はた/ただ/今はた/はただ/今はただ/思ひ/ひ絶/絶え/えな/なむ/思ひ絶/ひ絶え/絶えな/えなむ/思ひ絶え/ひ絶えな/絶えなむ/とば/ばか/かり/りを/とばか/ばかり
64,25,73,あさぼらけ　う/朝ぼ/ぼら/らけ/朝ぼら/ぼらけ/朝ぼらけ/宇治/治の/の川/川霧/宇治の/治の川/の川霧/宇治の川/治の川霧/たえ/えだ/だえ/えに/たえだ/えだえ/だえに/たえだえ/えだえに
65,25,66,うら/恨み/みわ/わび/恨みわ/みわび/恨みわび/ほさ/さぬ/ぬ袖/袖だ/だに/ほさぬ/さぬ袖/ぬ袖だ/袖だに/ほさぬ袖/さぬ袖だ/ぬ袖だに/ある/るも/もの/のを/あるも/るもの
66,25,67,もろ/ろと/とも/もに/もろと/ろとも/ともに/もろとも/ろともに/あは/はれ/れと/と思/思へ/あはれ/はれと/れと思/と思へ/あはれと/はれと思/れと思へ/山桜/とお/おも/もへ
67,25,66,はるの/春の/の夜/夜の/春の夜/の夜の/春の夜の/夢ば/ばか/かり/りな/なる/夢ばか/ばかり/かりな/りなる/夢ばかり/ばかりな/かりなる/手枕/枕に/手枕に/はる/るの/のよ
68,25,70,こころに/心に/にも/心にも/あら/らで/で憂/憂き/き夜/夜に/あらで/らで憂/で憂き/憂き夜/き夜に/あらで憂/らで憂き/で憂き夜/憂き夜に/長ら/らへ/へば/長らへ/らへば/長らへば
69,25,66,あらし/嵐吹/吹く/嵐吹く/三室/室の/の山/山の/三室の/室の山/の山の/三室の山/室の山の/もみ/みぢ/ぢ葉/葉は/もみぢ/みぢ葉/ぢ葉は/もみぢ葉/みぢ葉は/あら/らし/しふ
70,25,67,寂し/しさ/さに/寂しさ/しさに/寂しさに/宿を/を立/立ち/ち出/出で/でて/宿を立/を立ち/立ち出/ち出で/出でて/宿を立ち/を立ち出/立ち出で/ち出でて/なが/がむ/むれ/れば
71,25,68,ゆふ/夕さ/され/れば/夕され/されば/夕されば/門田/田の/の稲/稲葉/門田の/田の稲/の稲葉/門田の稲/田の稲葉/訪れ/れて/訪れて/ふさ/ゆふさ/ふされ/ゆふされ/ふされば/かど
72,25,65,おと/音に/に聞/聞く/音に聞/に聞く/音に聞く/高師/師の/の浜/浜の/高師の/師の浜/の浜の/高師の浜/師の浜の/あだ/だ波/波は/あだ波/だ波は/あだ波は/とに/にき/きく
73,25,65,たか/高砂/砂の/高砂の/尾の/の上/上の/の桜/尾の上/の上の/上の桜/尾の上の/の上の桜/咲き/きに/にけ/けり/咲きに/きにけ/にけり/咲きにけ/きにけり/かさ/さご/ごの
74,25,66,うか/憂か/かり/りけ/ける/憂かり/かりけ/りける/憂かりけ/かりける/人を/を初/初瀬/瀬の/人を初/を初瀬/初瀬の/人を初瀬/を初瀬の/山お/おろ/ろし/しよ/山おろ/おろし
75,25,70,ちぎりお/契り/りお/おき/きし/契りお/りおき/おきし/契りおき/りおきし/させ/せも/もが/が露/露を/させも/せもが/もが露/が露を/させもが/せもが露/もが露を/命に/にて/命にて
76,25,75,わたのはら　こ/わた/たの/の原/わたの/たの原/わたの原/漕ぎ/ぎ出/出で/でて/て見/見れ/れば/漕ぎ出/ぎ出で/出でて/でて見/て見れ/見れば/漕ぎ出で/ぎ出でて/出でて見/でて見れ/て見れば
77,25,68,瀬を/をは/はや/やみ/瀬をは/をはや/はやみ/瀬をはや/をはやみ/岩に/にせ/せか/かる/るる/岩にせ/にせか/せかる/かるる/岩にせか/にせかる/せかるる/滝川/川の/滝川の/せを
78,25,65,あはぢ/淡路/路島/淡路島/通ふ/ふ千/千鳥/鳥の/通ふ千/ふ千鳥/千鳥の/通ふ千鳥/ふ千鳥の/鳴く/く声/声に/鳴く声/く声に/鳴く声に/あは/はぢ/ぢし/しま/はぢし/ぢしま
79,25,69,あきか/秋風/風に/秋風に/たな/なび/びく/く雲/雲の/たなび/なびく/びく雲/く雲の/たなびく/なびく雲/びく雲の/絶え/え間/間よ/より/絶え間/え間よ/間より/絶え間よ/え間より
80,25,68,ながか/長か/から/らむ/長から/からむ/長からむ/心も/も知/知ら/らず/心も知/も知ら/知らず/心も知ら/も知らず/黒髪/髪の/黒髪の/なが/がか/がから/ながから/がからむ/ここ
81,25,67,ほと/とと/とぎ/ぎす/ほとと/ととぎ/とぎす/ほととぎ/ととぎす/鳴き/きつ/つる/る方/方を/鳴きつ/きつる/つる方/る方を/鳴きつる/きつる方/つる方を/なが/がむ/むれ/れば
82,25,69,おもひ/思ひ/ひわ/わび/思ひわ/ひわび/思ひわび/さて/ても/も命/命は/さても/ても命/も命は/さても命/ても命は/ある/るも/もの/のを/あるも/るもの/ものを/あるもの/るものを
83,25,71,よのなかよ/世の/の中/中よ/世の中/の中よ/世の中よ/道こ/こそ/そな/なけ/けれ/道こそ/こそな/そなけ/なけれ/道こそな/こそなけ/そなけれ/思ひ/ひ入/入る/思ひ入/ひ入る/思ひ入る
84,25,68,ながら/長ら/らへ/へば/長らへ/らへば/長らへば/また/たこ/この/のご/ごろ/ろや/またこ/たこの/このご/のごろ/ごろや/またこの/たこのご/このごろ/のごろや/しの/のば/ばれ
85,25,67,よも/夜も/もす/すが/がら/夜もす/もすが/すがら/夜もすが/もすがら/物思/思ふ/ふこ/ころ/ろは/物思ふ/思ふこ/ふころ/ころは/物思ふこ/思ふころ/ふころは/明け/けや/やら
86,25,67,なげけ/嘆け/けと/とて/嘆けと/けとて/嘆けとて/月や/やは/は物/物を/月やは/やは物/は物を/月やは物/やは物を/思は/はす/する/思はす/はする/思はする/なげ/げけ/げけと
87,25,68,村雨/雨の/村雨の/露も/もま/まだ/だ干/干ぬ/露もま/もまだ/まだ干/だ干ぬ/露もまだ/もまだ干/まだ干ぬ/真木/木の/の葉/葉に/真木の/木の葉/の葉に/真木の葉/木の葉に/むら
88,25,68,なにはえ/難波/波江/江の/難波江/波江の/難波江の/蘆の/のか/かり/りね/ねの/蘆のか/のかり/かりね/りねの/蘆のかり/のかりね/かりねの/ひと/とよ/よゆ/ゆゑ/ひとよ/とよゆ
89,25,67,たま/玉の/の緒/緒よ/玉の緒/の緒よ/玉の緒よ/絶え/えな/なば/ば絶/えね/絶えな/えなば/なば絶/ば絶え/絶えね/絶えなば/えなば絶/なば絶え/ば絶えね/なが/がら/らへ/へば
90,25,67,みせ/見せ/せば/ばや/やな/見せば/せばや/ばやな/見せばや/せばやな/雄島/島の/の海/海人/人の/雄島の/島の海/の海人/海人の/雄島の海/島の海人/の海人の/袖だ/だに/にも
91,25,67,きり/りぎ/ぎり/りす/きりぎ/りぎり/ぎりす/きりぎり/りぎりす/鳴く/くや/や霜/霜夜/夜の/鳴くや/くや霜/や霜夜/霜夜の/鳴くや霜/くや霜夜/や霜夜の/さむ/むし/しろ/ろに
92,25,69,わがそ/わが/が袖/袖は/わが袖/が袖は/わが袖は/潮干/干に/に見/見え/えぬ/潮干に/干に見/に見え/見えぬ/潮干に見/干に見え/に見えぬ/沖の/の石/石の/沖の石/の石の/沖の石の
93,25,68,よのなかは/世の/の中/中は/世の中/の中は/世の中は/常に/にも/もが/がも/もな/常にも/にもが/もがも/がもな/常にもが/にもがも/もがもな/渚漕/漕ぐ/渚漕ぐ/よの/のな/なか
94,25,65,みよ/み吉/吉野/野の/み吉野/吉野の/み吉野の/山の/の秋/秋風/山の秋/の秋風/山の秋風/さよ/よ更/更け/けて/さよ更/よ更け/更けて/さよ更け/よ更けて/よし/しの/のの
95,25,68,おほけ/おほ/ほけ/けな/なく/ほけな/けなく/おほけな/ほけなく/憂き/き世/世の/の民/民に/憂き世/き世の/世の民/の民に/憂き世の/き世の民/世の民に/ほふ/ふか/かな/おほふ
96,25,68,はなさ/花さ/さそ/そふ/花さそ/さそふ/花さそふ/嵐の/の庭/庭の/嵐の庭/の庭の/嵐の庭の/雪な/なら/らで/雪なら/ならで/雪ならで/はな/なさ/なさそ/はなさそ/なさそふ/あら
97,25,65,こぬ/来ぬ/ぬ人/人を/来ぬ人/ぬ人を/来ぬ人を/松帆/帆の/の浦/浦の/松帆の/帆の浦/の浦の/松帆の浦/帆の浦の/夕な/なぎ/ぎに/夕なぎ/なぎに/夕なぎに/ぬひ/ひと/とを
98,25,68,かぜそ/風そ/そよ/よぐ/風そよ/そよぐ/風そよぐ/楢の/の小/小川/川の/楢の小/の小川/小川の/楢の小川/の小川の/夕暮/暮は/夕暮は/かぜ/ぜそ/ぜそよ/かぜそよ/ぜそよぐ/なら
99,25,69,ひとも/人も/も惜/惜し/人も惜/も惜し/人も惜し/も恨/恨め/めし/人も恨/も恨め/恨めし/人も恨め/も恨めし/あぢ/ぢき/きな/なく/あぢき/ぢきな/きなく/あぢきな/ぢきなく/ひと
100,25,65,もも/百敷/敷や/百敷や/古き/き軒/軒端/端の/古き軒/き軒端/軒端の/古き軒端/き軒端の/しの/のぶ/ぶに/にも/しのぶ/のぶに/ぶにも/しのぶに/のぶにも/もし/しき/きや
0,25,74,なにわづ/難波/波津/津に/に咲/咲く/くや/やこ/この/の花/難波津/波津に/津に咲/に咲く/咲くや/くやこ/やこの/この花/難波津に/波津に咲/津に咲く/に咲くや/咲くやこ/くやこの/やこの花
