札番号,単語数,総文字数,単語リスト
1,13,32,あきの/秋の/秋の田/田の/の田の/あき/のた/のたの/たの/かり/かりほ/庵の/の庵の
2,13,32,はるす/春過/春過ぎ/ぎて/過ぎて/はる/すぎ/すぎて/夏来/夏来に/らし/けらし/なつ
3,13,31,あし/あしび/きの/びきの/びき/山鳥/山鳥の/尾の/の尾の/やま/どり/のを/のをの
4,13,31,たご/田子/田子の/浦に/の浦に/のう/うらに/らに/うち/うち出/れば/見れば/いで
5,13,30,おく/奥山/奥山に/山に/やま/やまに/まに/紅葉/紅葉踏/分け/み分け/もみ/ぢふ
6,13,30,かさ/鵲の/さぎ/さぎの/ぎの/渡せ/渡せる/橋に/る橋に/わた/せる/はし/はしに
7,13,31,あまの/天の/天の原/の原/あま/のは/のはら/はら/ふり/ふりさ/れば/見れば/さけ
8,13,32,わがい/わが/わが庵/庵は/が庵は/いほ/いほは/ほは/都の/都の辰/辰巳/の辰巳/みや
9,13,32,はなの/花の/花の色/色は/の色は/はな/のい/いろは/ろは/移り/移りに/りな/けりな
10,13,31,これ/これや/この/やこの/やこ/行く/行くも/ては/れては/いく/もか/へる/くもか
11,13,35,わたのはらや/わた/わたの/の原/たの原/のは/のはら/はら/八十/八十島/けて/かけて/やそ
12,13,31,あまつ/天つ/天つ風/つ風/あま/つか/つかぜ/かぜ/雲の/雲の通/ひ路/通ひ路/くも
13,13,31,つく/筑波/筑波嶺/嶺の/波嶺の/ばね/ばねの/ねの/峰よ/峰より/つる/落つる/みね
14,13,30,みち/陸奥/陸奥の/奥の/のく/のくの/くの/しの/しのぶ/ずり/ぢずり/ぶも/ぢず
15,13,34,きみがためは/君が/君がた/ため/がため/きみ/がた/春の/春の野/でて/出でて/はる/のの
16,13,31,たち/立ち/立ち別/別れ/ち別れ/わか/わかれ/かれ/いな/いなば/山の/の山の/ばの
17,13,31,ちは/ちはや/ぶる/やぶる/やぶ/神代/神代も/かず/聞かず/かみ/よも/きか/きかず
18,13,30,す/住の/住の江/江の/の江の/すみ/のえ/のえの/えの/岸に/岸に寄/る波/寄る波
19,13,32,なにはが/難波/難波潟/波潟/なに/はが/はがた/がた/短き/短き蘆/蘆の/き蘆の/みじ
20,13,31,わび/わびぬ/れば/ぬれば/ぬれ/今は/今はた/なじ/おなじ/いま/はた/おな/まはた
21,13,32,いまこ/今来/今来む/むと/来むと/いま/こむ/こむと/言ひ/言ひし/りに/かりに/いひ
22,13,29,ふ/吹く/吹くか/らに/からに/ふく/から/秋の/秋の草/木の/草木の/あき/のく
23,13,31,つき/月見/月見れ/れば/見れば/みれ/みれば/ちぢ/ちぢに/こそ/のこそ/にも/のこ
24,13,31,この/このた/びは/たびは/たび/ぬさ/ぬさも/へず/あへず/もと/りあ/さもと/手向
25,13,32,なにし/名に/名にし/はば/負はば/なに/しお/おはば/逢坂/逢坂山/山の/坂山の/あふ
