札番号,単語数,総文字数,単語リスト
54,13,33,わすれ/忘れ/忘れじ/じの/れじの/ゆく/ゆく末/では/までは/かた/かたけ/れば/ければ
55,13,32,たき/滝の/滝の音/音は/の音は/絶え/絶えて/しく/久しく/なり/なりぬ/れど/ぬれど
56,13,32,あらざ/あら/らむ/ざらむ/この/この世/かの/ほかの/思ひ/思ひ出/出に/ひ出に/ざら
57,13,31,め/めぐ/めぐり/ひて/逢ひて/見し/見しや/とも/れとも/わか/わかぬ/間に/ぬ間に
58,13,32,ありま/有馬/有馬山/馬山/猪名/猪名の/笹原/の笹原/風吹/風吹け/けば/吹けば/あり
59,13,32,やす/やすら/はで/らはで/寝な/寝なま/のを/ものを/さ夜/さ夜更/けて/更けて/らは
60,13,33,おほえ/おおえ/大江/大江山/江山/いく/いく野/道の/の道の/遠け/遠けれ/れば/ければ
61,13,31,いに/いにし/への/しへの/奈良/奈良の/都の/の都の/八重/八重桜/重桜/しへ/なら
62,13,31,よを/よお/夜を/夜をこ/めて/こめて/鳥の/鳥の空/音は/空音は/謀る/謀ると/とも
63,13,33,いまは/今は/今はた/ただ/はただ/思ひ/思ひ絶/なむ/えなむ/とば/とばか/りを/かりを
64,13,37,あさぼらけ　う/朝ぼ/朝ぼら/らけ/ぼらけ/宇治/宇治の/川霧/の川霧/たえ/たえだ/えに/だえに
65,13,32,うら/恨み/恨みわ/わび/みわび/ほさ/ほさぬ/だに/袖だに/ある/あるも/のを/ものを
66,13,31,もろ/もろと/もに/ともに/あは/あはれ/思へ/と思へ/山桜/とも/れと/おも/おもへ
67,13,32,はるの/春の/春の夜/夜の/の夜の/夢ば/夢ばか/なる/りなる/手枕/手枕に/枕に/はる
68,13,33,こころに/心に/心にも/にも/あら/あらで/夜に/き夜に/長ら/長らへ/へば/らへば/ここ
69,13,32,あらし/嵐吹/嵐吹く/吹く/三室/三室の/山の/の山の/もみ/もみぢ/葉は/ぢ葉は/あら
70,13,31,さ/寂し/寂しさ/さに/しさに/宿を/宿を立/でて/出でて/なが/ながむ/れば/むれば
71,13,31,ゆふ/ゆう/夕さ/夕され/れば/されば/門田/門田の/稲葉/の稲葉/訪れ/訪れて/れて
72,13,32,おと/音に/音に聞/聞く/に聞く/高師/高師の/浜の/の浜の/あだ/あだ波/波は/だ波は
73,13,31,たか/高砂/高砂の/砂の/尾の/尾の上/の桜/上の桜/咲き/咲きに/けり/にけり/さご
74,13,32,うか/憂か/憂かり/ける/りける/人を/人を初/瀬の/初瀬の/山お/山おろ/しよ/ろしよ
75,13,33,ちぎりお/契り/契りお/きし/おきし/させ/させも/露を/が露を/命に/命にて/にて/ちぎ
76,13,37,わたのはら　こ/わた/わたの/の原/たの原/漕ぎ/漕ぎ出/れば/見れば/ひさ/ひさか/たの/かたの
77,13,30,せ/瀬を/瀬をは/やみ/はやみ/岩に/岩にせ/るる/かるる/滝川/滝川の/川の/せを
78,13,33,あはぢ/あわじ/淡路/淡路島/路島/通ふ/通ふ千/鳥の/千鳥の/鳴く/鳴く声/声に/く声に
79,13,32,あきか/秋風/秋風に/風に/たな/たなび/雲の/く雲の/絶え/絶え間/より/間より/あき
80,13,32,ながか/長か/長から/らむ/からむ/心も/心も知/らず/知らず/黒髪/黒髪の/髪の/なが
81,13,31,ほ/ほと/ほとと/ぎす/とぎす/鳴き/鳴きつ/方を/る方を/なが/ながむ/れば/むれば
82,13,33,おもひ/おもい/思ひ/思ひわ/わび/ひわび/さて/さても/命は/も命は/ある/あるも/のを
83,13,35,よのなかよ/世の/世の中/中よ/の中よ/道こ/道こそ/けれ/なけれ/思ひ/思ひ入/入る/ひ入る
84,13,33,ながら/長ら/長らへ/へば/らへば/また/またこ/ろや/ごろや/しの/しのば/れむ/ばれむ
85,13,32,よも/夜も/夜もす/がら/すがら/物思/物思ふ/ろは/ころは/明け/明けや/らで/やらで
86,13,33,なげけ/嘆け/嘆けと/とて/けとて/月や/月やは/物を/は物を/思は/思はす/する/はする
87,13,30,む/村雨/村雨の/雨の/露も/露もま/干ぬ/だ干ぬ/真木/真木の/葉に/の葉に/むら
88,13,34,なにはえ/難波/難波江/江の/波江の/蘆の/蘆のか/ねの/りねの/ひと/ひとよ/ゆゑ/よゆゑ
89,13,32,たま/玉の/玉の緒/緒よ/の緒よ/絶え/絶えな/えね/絶えね/なが/ながら/へば/らへば
90,13,32,みせ/見せ/見せば/やな/ばやな/雄島/雄島の/人の/海人の/袖だ/袖だに/にも/だにも
91,13,32,きり/きりぎ/りす/ぎりす/鳴く/鳴くや/夜の/霜夜の/さむ/さむし/ろに/しろに/ぎり
92,13,33,わがそ/わが/わが袖/袖は/が袖は/潮干/潮干に/えぬ/見えぬ/沖の/沖の石/石の/の石の
93,13,34,よのなかは/世の/世の中/中は/の中は/常に/常にも/もな/がもな/渚漕/渚漕ぐ/漕ぐ/よの
94,13,32,みよ/み吉/み吉野/野の/吉野の/山の/山の秋/秋風/の秋風/さよ/さよ更/けて/更けて
95,13,33,おほけ/おおけ/おほ/なく/けなく/憂き/憂き世/民に/の民に/おほふ/かな/ふかな/けな
96,13,33,はなさ/花さ/花さそ/そふ/さそふ/嵐の/嵐の庭/庭の/の庭の/雪な/雪なら/らで/ならで
97,13,32,こぬ/来ぬ/来ぬ人/人を/ぬ人を/松帆/松帆の/浦の/の浦の/夕な/夕なぎ/ぎに/なぎに
98,13,32,かぜそ/風そ/風そよ/よぐ/そよぐ/楢の/楢の小/川の/小川の/夕暮/夕暮は/暮は/かぜ
99,13,33,ひとも/人も/人も惜/惜し/も惜し/人も恨/めし/恨めし/あぢ/あぢき/なく/きなく/ひと
100,13,31,もも/百敷/百敷や/敷や/古き/古き軒/端の/軒端の/しの/しのぶ/にも/ぶにも/しき
0,13,32,なにわづ/難波/難波津/の花/この花/冬ご/冬ごも/なに/わづ/わづに/づに/さく/やこ
