札番号,単語数,総文字数,単語リスト
58,13,30,ありま/あり/まや/まやま/やま/ゐな/のさ/さは/さはら/なのさ/はら/かぜ/ふけ
59,13,30,やす/らは/らはで/はで/ねな/まし/もの/ものを/なまし/のを/さよ/ふけ/ふけて
60,13,31,おほえ/おおえ/おほ/えや/えやま/やま/いく/のの/みち/みちの/くのの/ちの/とほ
61,13,30,いに/しへ/しへの/への/なら/のみ/やこ/やこの/らのみ/この/やへ/ざく/ざくら
62,13,29,よを/よお/こめ/こめて/めて/とり/のそ/らね/らねは/りのそ/ねは/はか/ると
63,13,30,いまは/いま/はた/はただ/ただ/おも/ひた/えな/えなむ/もひた/なむ/とば/かり
64,13,33,あさぼらけう/あさ/ぼら/ぼらけ/らけ/うぢ/のか/はぎ/はぎり/ぢのか/ぎり/たえ/だえ
65,13,30,うら/みわ/みわび/わび/ほさ/ぬそ/でだ/でだに/さぬそ/だに/ある/もの/ものを
66,13,30,もろ/とも/ともに/もに/あは/れと/おも/おもへ/はれと/もへ/やま/ざく/ざくら
67,13,30,はるの/はる/のよ/のよの/よの/ゆめ/ばか/りな/りなる/めばか/なる/たま/くら
68,13,31,こころに/ここ/ろに/ろにも/にも/あら/でう/きよ/きよに/らでう/よに/なが/らへ
69,13,30,あらし/あら/しふ/しふく/ふく/みむ/ろの/やま/やまの/むろの/まの/もみ/ぢば
70,13,28,さ/さび/しさ/しさに/さに/やど/をた/ちい/いでて/どをた/でて/なが/むれ
71,13,29,ゆふ/ゆう/され/されば/れば/かど/たの/いな/いなば/どたの/なば/おと/づれ
72,13,30,おと/にき/にきく/きく/たか/しの/はま/はまの/かしの/まの/あだ/なみ/なみは
73,13,30,たか/さご/さごの/ごの/をの/への/さく/さくら/のへの/くら/さき/にけ/にけり
74,13,30,うか/りけ/りける/ける/ひと/をは/つせ/つせの/とをは/せの/やま/おろ/ろしよ
75,13,31,ちぎりお/ちぎ/りお/おきし/きし/させ/もが/つゆ/つゆを/せもが/ゆを/いの/ちに
76,13,33,わたのはらこ/わた/のは/のはら/はら/こぎ/いで/てみ/みれば/ぎいで/れば/ひさ/かた
77,13,28,せ/せを/はや/はやみ/やみ/いは/にせ/かる/かるる/はにせ/るる/たき/がは
78,13,31,あはぢ/あわじ/あは/ぢし/ぢしま/しま/かよ/ふち/どり/どりの/よふち/りの/なく
79,13,30,あきか/あき/かぜ/かぜに/ぜに/たな/びく/くも/くもの/なびく/もの/たえ/まよ
80,13,30,ながか/なが/から/からむ/らむ/ここ/ろも/しら/しらず/ころも/らず/くろ/かみ
81,13,28,ほ/ほと/とぎ/とぎす/ぎす/なき/つる/かた/かたを/きつる/たを/なが/むれ
82,13,31,おもひ/おもい/おも/ひわ/ひわび/わび/さて/もい/のち/のちは/てもい/ちは/ある
83,13,32,よのなかよ/よの/なか/なかよ/かよ/みち/こそ/なけ/なけれ/ちこそ/けれ/おも/ひい
84,13,30,ながら/なが/らへ/らへば/へば/また/この/ごろ/ごろや/たこの/ろや/しの/ばれ
85,13,30,よも/すが/すがら/がら/もの/おも/ふこ/ころは/のおも/ろは/あけ/やら/やらで
86,13,30,なげけ/なげ/けと/けとて/とて/つき/やは/もの/ものを/きやは/のを/おも/はす
87,13,28,む/むら/さめ/さめの/めの/つゆ/もま/だひ/だひぬ/ゆもま/ひぬ/まき/のは
88,13,31,なにはえ/なに/はえ/はえの/えの/あし/のか/りね/りねの/しのか/ねの/ひと/よゆ
89,13,30,たま/のを/のをよ/をよ/たえ/なば/たえね/えなば/えね/なが/らへ/らへば/へば
90,13,30,みせ/ばや/ばやな/やな/をじ/まの/あま/あまの/じまの/そで/だに/だにも/にも
91,13,30,きり/ぎり/ぎりす/りす/なく/やし/もよ/もよの/くやし/よの/さむ/しろ/しろに
92,13,30,わがそ/わが/そで/そでは/では/しほ/ひに/みえ/みえぬ/ほひに/えぬ/おき/のい
93,13,32,よのなかは/よの/なか/なかは/かは/つね/にも/がも/がもな/ねにも/もな/なぎ/さこ
94,13,30,みよ/しの/しのの/のの/やま/のあ/きか/きかぜ/まのあ/かぜ/さよ/ふけ/ふけて
95,13,31,おほけ/おおけ/おほ/けな/けなく/なく/うき/よの/たみ/たみに/きよの/みに/ふか
96,13,30,はなさ/はな/さそ/さそふ/そふ/あら/しの/には/にはの/らしの/はの/ゆき/なら
97,13,30,こぬ/ひと/ひとを/とを/まつ/ほの/うら/うらの/つほの/らの/ゆふ/なぎ/なぎに
98,13,30,かぜそ/かぜ/そよ/そよぐ/よぐ/なら/のを/がは/がはの/らのを/はの/ゆふ/ぐれ
99,13,31,ひとも/ひと/もを/もをし/をし/もう/らめ/らめし/ともう/めし/あぢ/きな/きなく
100,13,30,もも/しき/しきや/きや/ふる/きの/きば/きばの/るきの/ばの/しの/ぶに/ぶにも
0,13,31,なにわづ/なに/わづ/わづに/づに/さく/やこ/のは/のはな/くやこ/はな/ふゆ/ごも
